TexteA,TextB,TextAPT,TextBPT,TFIDF,Score Keywords,Score entities,RESULT
'There will be no public funding for abortion in this legislation.',"'With one stroke of his pen, President Bush has denied health insurance to 3.8 million kids who were due to get it under this bipartisan expansion of the Children's Health Insurance Program.'",public funding abortion legislation ,one stroke pen president bush denied health insurance 38 million kids due get bipartisan expansion childrens health insurance program ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'The lifespan of the average American is less than that of people in nations that spend far less (on health care). ... To put it bluntly, we spend more and die sooner.'",public funding abortion legislation ,lifespan average american less people nations spend far less health care put bluntly spend die sooner ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','The health insurance plan that (members of Congress) have is no different than any other federal employee's in the United States government.',public funding abortion legislation ,health insurance plan members congress different federal employees united states government ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'One-third of the counties — think of it, one-third — only have one insurer left' on the Affordable Care Act exchanges.",public funding abortion legislation ,onethird counties think onethird one insurer left affordable care act exchanges ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"Says Sen. Rand Paul, R-Ky., has stated that supporting the 'right to health care ... means you believe in slavery.'",public funding abortion legislation ,sen rand paul rky stated supporting right health care means believe slavery ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Right now we are at 90 percent health insurance covered. That's the highest we've ever been in our country.',public funding abortion legislation ,right ninety percent health insurance covered thats highest weve ever country ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','I actually in 2005 ran on Medicare for all.',public funding abortion legislation ,actually two thousand five ran medicare ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',Hillary Clinton 'has the only health care plan that covers every American.',public funding abortion legislation ,hillary clinton health care plan covers every american ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Almost 1 million children ... have no health insurance in this state.',public funding abortion legislation ,almost one million children health insurance state ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Obama put a 10 percent tax on tanning.',public funding abortion legislation ,obama put ten percent tax tanning ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will.'",public funding abortion legislation ,truth planned parenthood provide mammograms planned parenthood refers women mammography providers serving middlewoman ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"In the past three years, state legislatures have 'enacted more of these restrictions (on abortion) than in the previous 10 years combined.'",public funding abortion legislation ,past three years state legislatures enacted restrictions abortion previous ten years combined ,0.07,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','The VA negotiates prescription drug prices. Medicare doesn't do that.',public funding abortion legislation ,va negotiates prescription drug prices medicare doesnt ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"In Massachusetts, 'half of the primary care doctors are not accepting new patients.'",public funding abortion legislation ,massachusetts half primary care doctors accepting new patients ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',New provisions of the health care law bar the use of flexible spending accounts and health savings accounts to pay for aspirin and other non-prescription health needs.,public funding abortion legislation ,new provisions health care law bar use flexible spending accounts health savings accounts pay aspirin nonprescription health needs ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"In New York state, 'you cannot charge an older person even one dollar more than a younger person' for health insurance.",public funding abortion legislation ,new york state cannot charge older person even one dollar younger person health insurance ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'We spend more on health care than any other country, but we're ranked 47th in life expectancy and 43rd in child mortality.'",public funding abortion legislation ,spend health care country ranked 47th life expectancy 43rd child mortality ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'Each year, 18,000 people die in America because they don't have health care.'",public funding abortion legislation ,year 18000 people die america dont health care ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',The Senate health care bill 'would leave 24 million people without insurance coverage.',public funding abortion legislation ,senate health care bill would leave twentyfour million people without insurance coverage ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'With this reform, every insured American gets valuable consumer protections, and every uninsured American can become insured.'",public funding abortion legislation ,reform every insured american gets valuable consumer protections every uninsured american become insured ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'Ninety-five percent of Oregonians now have health insurance coverage, tens of thousands for the very first time.'",public funding abortion legislation ,ninetyfive percent oregonians health insurance coverage tens thousands first time ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals' in 2014.,public funding abortion legislation ,granite staters hold individual policies anthemcan indeed renew policies keep current doctors hospitals 2014 ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'The claim ... that we plan to set up panels of bureaucrats with the power to  kill off senior citizens ... is a lie, plain and simple.'",public funding abortion legislation ,claim plan set panels bureaucrats power kill senior citizens lie plain simple ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','President Obama campaigned on a promise to put reproductive health care at the center of his reform plan.',public funding abortion legislation ,president obama campaigned promise put reproductive health care center reform plan ,0.0,1.0000000000000002,0.0,ST
'There will be no public funding for abortion in this legislation.',Health insurance premiums 'have almost doubled ... since 2000.',public funding abortion legislation ,health insurance premiums almost doubled since 2000 ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'Even after Obamacare is fully implemented, there still will be tens of millions of people not covered.'",public funding abortion legislation ,even obamacare fully implemented still tens millions people covered ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','The Children's Defense Fund rated McCain as the worst senator in Congress for children.',public funding abortion legislation ,childrens defense fund rated mccain worst senator congress children ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.',public funding abortion legislation ,stood ground zero workers sacrificed health many sacrificed lives kept standing till administration took action ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'In some states, it is still legal to deny a woman coverage because she's been the victim of domestic violence.'",public funding abortion legislation ,states still legal deny woman coverage shes victim domestic violence ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Less than four cents of every health care dollar is spent on prevention and public health.',public funding abortion legislation ,less four cents every health care dollar spent prevention public health ,0.08,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'Of the 25 wealthiest nations, we're the only one that doesn't provide basic health coverage.'",public funding abortion legislation ,twentyfive wealthiest nations one doesnt provide basic health coverage ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',Health care premiums for consumers have doubled since 2001.,public funding abortion legislation ,health care premiums consumers doubled since 2001 ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'The first (state) budget that came out of our Republican leadership slashed funding to Planned Parenthood...It resulted in the reduction of hours, the elimination of days, elimination of access to women in my city and all over my state.'",public funding abortion legislation ,first state budget came republican leadership slashed funding planned parenthoodit resulted reduction hours elimination days elimination access women city state ,0.06,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',Every family health insurance policy has 'a $900 hidden tax' to subsidize health care costs of the uninsured.,public funding abortion legislation ,every family health insurance policy 900 hidden tax subsidize health care costs uninsured ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"The Affordable Care Act 'provided over 200,000 West Virginians with health care coverage.'",public funding abortion legislation ,affordable care act provided 200000 west virginians health care coverage ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',McCain 'said he was 'stumped' when asked whether contraceptives help stop the spread of HIV.',public funding abortion legislation ,mccain stumped asked whether contraceptives help stop spread hiv ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'Switzerland and the Netherlands . . . cover all their citizens using private insurers, and they do so for much less cost.'",public funding abortion legislation ,switzerland netherlands cover citizens using private insurers much less cost ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',The uninsured rate in California reached 'a historic low of 7.4 percent in 2016.',public funding abortion legislation ,uninsured rate california reached historic low 74 percent 2016 ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',Pregnant women trying to buy health insurance on their own are barred from maternity coverage because they have a 'pre-existing condition.',public funding abortion legislation ,pregnant women trying buy health insurance barred maternity coverage preexisting condition ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',A report by the health insurance industry 'ignores some of the key policies that are part of the Senate Finance Committee bill.',public funding abortion legislation ,report health insurance industry ignores key policies part senate finance committee bill ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"Obama 'won health care for 150,000 people.'",public funding abortion legislation ,obama health care 150000 people ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Florida is 49th in per capita spending on mental health care.',public funding abortion legislation ,florida 49th per capita spending mental health care ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Romneycare was model for Obamacare.',public funding abortion legislation ,romneycare model obamacare ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'There are 7,000 kids in New Hampshire who have health care because I helped to create the Children's Health Insurance Program.'",public funding abortion legislation ,7000 kids new hampshire health care helped create childrens health insurance program ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',The Baucus bill 'contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion.',public funding abortion legislation ,baucus bill contains provisions would send massive federal subsidies directly private insurance plans governmentchartered cooperatives pay elective abortion ,0.06,1.0000000000000002,0.0,ST
'There will be no public funding for abortion in this legislation.','Matt Rosendale supports plans that don’t have to cover (pre-existing conditions).',public funding abortion legislation ,matt rosendale supports plans dont cover preexisting conditions ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',Medicaid is the primary source of health insurance for 41.7 percent of Hispanic children in Georgia.,public funding abortion legislation ,medicaid primary source health insurance 417 percent hispanic children georgia ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','We have been able to cut New York’s uninsured rate in half since 2013 from 10 percent to 5 percent of our population.',public funding abortion legislation ,able cut new yorks uninsured rate half since two thousand thirteen ten percent five percent population ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'Many state and federal agencies have such ‘navigators’ involved in helping folks maneuver through the often complex processes associated with filing benefits claims, for example -- even buying health insurance.'",public funding abortion legislation ,many state federal agencies navigators involved helping folks maneuver often complex processes associated filing benefits claims example even buying health insurance ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',John McCain and George Bush have 'absolutely no plan for universal health care.',public funding abortion legislation ,john mccain george bush absolutely plan universal health care ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Just about half of rural hospitals operate in the red in Virginia. They operate at a loss.',public funding abortion legislation ,half rural hospitals operate red virginia operate loss ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',The United States spends 'almost three times per capita what they spend in the U.K.' on health care and '50 percent more than they pay in France.',public funding abortion legislation ,united states spends almost three times per capita spend uk health care 50 percent pay france ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',John McCain's health care plan 'won't guarantee coverage of cancer screenings or maternity care.',public funding abortion legislation ,john mccains health care plan wont guarantee coverage cancer screenings maternity care ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',The Senate health care bill does not contain limits on medical malpractice lawsuits.,public funding abortion legislation ,senate health care bill contain limits medical malpractice lawsuits ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'The law says that mental health must be treated the same as physical health,' but coverage by health insurers is unequal.",public funding abortion legislation ,law mental health must treated physical health coverage health insurers unequal ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'A family of four can make up to $88,000 a year and still get a subsidy for health insurance' under the new federal health care law.",public funding abortion legislation ,family four make 88000 year still get subsidy health insurance new federal health care law ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',The health care plan for members of Congress 'is no better than the janitor who cleans their offices.',public funding abortion legislation ,health care plan members congress better janitor cleans offices ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"Says the federal health care law upheld by the Supreme Court 'has improved or saved the lives of more than 4,000 Texans' otherwise prevented from obtaining health coverage due to pre-existing conditions.",public funding abortion legislation ,federal health care law upheld supreme court improved saved lives 4000 texans otherwise prevented obtaining health coverage due preexisting conditions ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"During a town hall meeting on health care, 'ABC didn't even allow ads that opposed the president's health care plan to be aired.'",public funding abortion legislation ,town hall meeting health care abc didnt even allow ads opposed presidents health care plan aired ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"According to a recent poll, 'there are more young Republicans enrolled in their parents' (health insurance) plans than young Democrats.'",public funding abortion legislation ,according recent poll young republicans enrolled parents health insurance plans young democrats ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',Says a Josh Hawley lawsuit 'would take away important prescription drug coverage for seniors through Medicare and end all of the consumer protections under the ACA.',public funding abortion legislation ,josh hawley lawsuit would take away important prescription drug coverage seniors medicare end consumer protections aca ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',Medicare spends '$15-billion a year on subsidies to insurance companies.',public funding abortion legislation ,medicare spends 15billion year subsidies insurance companies ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',Almost every state has offered an insurance plan on its health exchange that does not cover abortion.,public funding abortion legislation ,almost every state offered insurance plan health exchange cover abortion ,0.09,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Health insurance companies' costs are only 4 percent of all health care spending.',public funding abortion legislation ,health insurance companies costs four percent health care spending ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'You can't give a child an aspirin in school without permission. You can't do any kind of medication, but we can secretly take the child off and have an abortion.'",public funding abortion legislation ,cant give child aspirin school without permission cant kind medication secretly take child abortion ,0.06,1.0000000000000002,0.0,ST
'There will be no public funding for abortion in this legislation.','Obamacare was patterned after (Mitt Romney's) plan in Massachusetts.',public funding abortion legislation ,obamacare patterned mitt romneys plan massachusetts ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Texas has the highest rate of uninsured in the nation. ... And there are more uninsured children in Texas than in any other state.',public funding abortion legislation ,texas highest rate uninsured nation uninsured children texas state ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'Thirty-four percent of Hispanics don't have any health care at all, don't have any health insurance.'",public funding abortion legislation ,thirtyfour percent hispanics dont health care dont health insurance ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',Washing your hands and covering your mouth when you cough 'makes a huge difference' in reducing transmission of the flu.,public funding abortion legislation ,washing hands covering mouth cough makes huge difference reducing transmission flu ,0.0,0.33609692727625756,0.0,N
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',central health hospital district texas spends taxpayer dollars abortions ,central health hospital district texas spends taxpayer dollars abortions ,1.0,1.0,1.0000000000000002,E
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','There’s actually 600 abortions done after the 20th week of pregnancy every year in Ohio.',central health hospital district texas spends taxpayer dollars abortions ,theres actually six hundred abortions done 20th week pregnancy every year ohio ,0.05,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','90 percent of babies with Down syndrome are aborted.',central health hospital district texas spends taxpayer dollars abortions ,90 percent babies syndrome aborted ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Mitt Romney previously believed 'that abortion should be safe and legal in this country.' Now he is 'prolife.',central health hospital district texas spends taxpayer dollars abortions ,mitt romney previously believed abortion safe legal country prolife ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',The GOP platform that seeks further limits on abortion and is silent on an exception for rape 'has been there for more than 30 years.',central health hospital district texas spends taxpayer dollars abortions ,gop platform seeks limits abortion silent exception rape thirty years ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',"In the Illinois Legislature, Barack Obama 'voted 'present,' instead of yes or no' on seven votes involving abortion rights.",central health hospital district texas spends taxpayer dollars abortions ,illinois legislature barack obama voted present instead yes seven votes involving abortion rights ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','McCain opposes a woman's right to choose.',central health hospital district texas spends taxpayer dollars abortions ,mccain opposes womans right choose ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',"Says 'Danny Tarkanian … wants to defund Planned Parenthood and would outlaw a woman's right to choose, even in cases of rape or incest.'",central health hospital district texas spends taxpayer dollars abortions ,danny tarkanian wants defund planned parenthood would outlaw womans right choose even cases rape incest ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says Congressmen Paul Ryan and Todd Akin co-sponsored legislation 'to limit federal funding for abortion to victims of ‘forcible rape.’',central health hospital district texas spends taxpayer dollars abortions ,congressmen paul ryan todd akin cosponsored legislation limit federal funding abortion victims forcible rape ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says out-of-state abortion clinics 'have marketed their services to minors' in states with parental consent laws.,central health hospital district texas spends taxpayer dollars abortions ,outofstate abortion clinics marketed services minors states parental consent laws ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','As governor of Florida I defunded Planned Parenthood.',central health hospital district texas spends taxpayer dollars abortions ,governor florida defunded planned parenthood ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',"'Following the 2009 session,' Texas House Speaker Joe Straus 'was acknowledged and ‘thanked’ for his ‘tireless efforts’ by Planned Parenthood, the nation’s premier abortion provider.'",central health hospital district texas spends taxpayer dollars abortions ,following two thousand nine session texas house speaker joe straus acknowledged thanked tireless efforts planned parenthood nations premier abortion provider ,0.04,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says Donald Trump has 'changed his mind' on abortion.,central health hospital district texas spends taxpayer dollars abortions ,donald trump changed mind abortion ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says Mitt Romney has flip-flopped on abortion rights.,central health hospital district texas spends taxpayer dollars abortions ,mitt romney flipflopped abortion rights ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says abortions are decreasing.,central health hospital district texas spends taxpayer dollars abortions ,abortions decreasing ,0.14,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says there have been 50 million abortions since Roe v. Wade was decided.,central health hospital district texas spends taxpayer dollars abortions ,fifty million abortions since roe v wade decided ,0.07,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','There have been zero reported instances of any child born alive after an abortion in Texas.',central health hospital district texas spends taxpayer dollars abortions ,zero reported instances child born alive abortion texas ,0.06,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','We've seen more anti-women's choice bills introduced in the first half of this session than we've seen in the last three General Assemblies.',central health hospital district texas spends taxpayer dollars abortions ,weve seen antiwomens choice bills introduced first half session weve seen last three general assemblies ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','Sen. Obama has always had a 100 percent prochoice rating.',central health hospital district texas spends taxpayer dollars abortions ,sen obama always one hundred percent prochoice rating ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',The House of Representatives does not have a prochoice majority.,central health hospital district texas spends taxpayer dollars abortions ,house representatives prochoice majority ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Barack Obama voted against 'born alive' legislation in Illinois that was 'virtually identical to the federal law.',central health hospital district texas spends taxpayer dollars abortions ,barack obama voted born alive legislation illinois virtually identical federal law ,0.0,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','The United States is one of only seven nations that allows elective abortions after 20 weeks post-fertilization.',central health hospital district texas spends taxpayer dollars abortions ,united states one seven nations allows elective abortions twenty weeks postfertilization ,0.05,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','So what sort of services does Romney's health care plan provide? Per the state Web site: $50 co-pay for abortions.',central health hospital district texas spends taxpayer dollars abortions ,sort services romneys health care plan provide per state web site 50 copay abortions ,0.1,1.0,0.0,ST
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','I'm proud to have had a 100 percent pro-life voting record.',central health hospital district texas spends taxpayer dollars abortions ,im proud one hundred percent prolife voting record ,0.0,1.0,0.0,ST
Says most of Perry's chiefs of staff have been lobbyists.,Says most of Perry's chiefs of staff have been lobbyists.,perrys chiefs staff lobbyists ,perrys chiefs staff lobbyists ,1.0,1.0,1.0000000000000002,E
Says most of Perry's chiefs of staff have been lobbyists.,Says Obama has flip-flopped on public campaign financing.,perrys chiefs staff lobbyists ,obama flipflopped public campaign financing ,0.0,1.0,0.0,ST
Says most of Perry's chiefs of staff have been lobbyists.,"'Ten years ago, John McCain offered a bill that said he would ban a candidate from paying registered lobbyists.'",perrys chiefs staff lobbyists ,ten years ago john mccain offered bill would ban candidate paying registered lobbyists ,0.08,1.0,0.0,ST
Says most of Perry's chiefs of staff have been lobbyists.,Georgia is one of three states that 'effectively have no regulations whatsoever on lobbyists giving to legislators.',perrys chiefs staff lobbyists ,georgia one three states effectively regulations whatsoever lobbyists giving legislators ,0.09,1.0,0.0,ST
Says most of Perry's chiefs of staff have been lobbyists.,"'Hillary Clinton has taken over $800,000 from lobbyists.'",perrys chiefs staff lobbyists ,hillary clinton taken 800000 lobbyists ,0.13,1.0,0.0,ST
Says most of Perry's chiefs of staff have been lobbyists.,'When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.',perrys chiefs staff lobbyists ,saw corruption sexual harassment coverups called sheldon silver resign ,0.0,1.0,0.0,ST
Says most of Perry's chiefs of staff have been lobbyists.,"Obama spent '40 percent of the PAC money, 43 percent to be exact, on Iowa, New Hampshire, Nevada and South Carolina politicians.'",perrys chiefs staff lobbyists ,obama spent 40 percent pac money fortythree percent exact iowa new hampshire nevada south carolina politicians ,0.0,1.0,0.33609692727625756,ST
Says most of Perry's chiefs of staff have been lobbyists.,"'I'm proud of the fact that I've raised more money from small donors than anybody else, and that we're getting $25, $50, $100 donations, and we've done very well doing it that way.'",perrys chiefs staff lobbyists ,im proud fact ive raised money small donors anybody else getting 25 50 100 donations weve done well way ,0.0,1.0,0.0,ST
Says most of Perry's chiefs of staff have been lobbyists.,“I have filed every disclosure that has ever been required.”,perrys chiefs staff lobbyists ,filed every disclosure ever required ,0.0,1.0,0.0,ST
