textA,textB,keywordsA,keywordsB,authorA,authorb,named_entitiesA,named_entitiesB
'There will be no public funding for abortion in this legislation.',"As a candidate, President Obama 'declared that everyone deserves access to reproductive health care that includes abortion, and vowed that this 'right' would be at the heart of his health care reform plan if elected president.'","Abortion,Health Care","Abortion,Health Care",Bart Stupak,John Boehner,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,Hyde amendment,John Boehner,Medicaid,NARAL Pro-Choice America,National Right to Life Committee,Planned Parenthood,Planned Parenthood Action Fund,PolitiFact,Republican,abortion,abortion rights,but not,claim, House,fetal homicide,health care reform,incest,prolife,reproductive justice"
'There will be no public funding for abortion in this legislation.',"'This (SCHIP) is socialized medicine. It is going to go to families that make $60,000 a year. Those aren't poor children.'","Abortion,Health Care",Health Care,Bart Stupak,Duncan Hunter,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","State Children's Health Insurance Program,poverty line,socialized medicine,to show"
'There will be no public funding for abortion in this legislation.','I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.',"Abortion,Health Care","Abortion,Health Care,Medicaid",Bart Stupak,Bruce Rauner,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","American Civil Liberties Union,Amy Jacobson,Blaise Cupich,Bruce Rauner,Chicago Tribune,David McSweeney,Democrat,Diana Rauner,Donald Trump,Evelyn Sanguinetti,Gloria Steinem,Illinois General Assembly,Jack Roeser,Medicaid,Pat Brady,Planned Parenthood,PolitiFact,Pro-Choice,Republican,Republican party,Roe v. Wade,Roe vs. Wade,Roger Baldwin,Sara Feigenholtz,U.S. Supreme Court,Wauconda Township,abortion,abortion rights,anti-abortion,exploratory committee,gay marriage,https,incest,ioci,pro-choice,quo on,quoIn,reproductive rights,same-sex marriage,social conservatives,that.'That,trigger language"
'There will be no public funding for abortion in this legislation.','The costs of cancer and all affiliated issues are over $20 billion a year to this state.',"Abortion,Health Care",Health Care,Bart Stupak,Jim Keffer,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Billy Hamilton,Centers for Disease Control and Prevention,David Warner,Jim Keffer,Keffer,LBJ School of Public Affairs,Lance Armstrong,National Cancer Institute,Republican,Rick Perry,Rob Orr,Texas Department of State Health Services,University of Texas Medical Branch,University of Texas Medical Branch at Galveston,cost Texas"
'There will be no public funding for abortion in this legislation.','More than half of Planned Parenthood facilities are in rural or medically underserved areas.',"Abortion,Health Care","Abortion,Health Care,Public Health,Women",Bart Stupak,Carolyn Maloney,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","American Health Care Act,Carolyn Maloney,HRSA,Health Resources & Services Administration,House Budget Committee,Medicaid,Medicare,Planned Parenthood,Politifact,Republican,U.S. Department of Health and Human Services,abortion,family planning,incest,to show"
'There will be no public funding for abortion in this legislation.','Wisconsin is a Top 10 state for health care coverage.',"Abortion,Health Care",Health Care,Bart Stupak,Scott Walker,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Agency for Healthcare Research and Quality,Bernie Sanders,Commonwealth Fund,Democrat,Kaiser Family Foundation,Medicaid,Republican,Scott Walker,Tony Evers,Twitter,U.S. Census Bureau,U.S. News & World Report,Vermont,Wallethub,business. Many,health care ranking,think tank"
'There will be no public funding for abortion in this legislation.',Texas leads 'the nation in the percentage of residents without health insurance.',"Abortion,Health Care",Health Care,Bart Stupak,Paul Krugman,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Gallup,Gallup poll,Louisiana,New Mexico,New York Times,Paul Krugman,Texas Public Policy Foundation,U.S. Census Bureau"
'There will be no public funding for abortion in this legislation.','They’ve seen employer-supported coverage increase in Massachusetts after this law (Romneycare) was implemented.',"Abortion,Health Care",Health Care,Bart Stupak,Elizabeth Roberts,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Deval Patrick,Elizabeth H. Roberts,Henry J. Kaiser,Henry J. Kaiser Family Foundation,Kaiser Family Foundation,Massachusetts Executive Office of Health and Human Services,Massachusetts Health Care Reform,Massachusetts Health Insurance Connector Authority,Mitt Romney,Obamacare,Patient Protection and Affordable Care Act,PolitiFact,Providence Journal,Romneycare,World War II"
'There will be no public funding for abortion in this legislation.',"'With one stroke of his pen, President Bush has denied health insurance to 3.8 million kids who were due to get it under this bipartisan expansion of the Children's Health Insurance Program.'","Abortion,Health Care",Health Care,Bart Stupak,Joe Biden,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Congressional Budget Office,State Children's Health Insurance Program,poverty line"
'There will be no public funding for abortion in this legislation.',"'The lifespan of the average American is less than that of people in nations that spend far less (on health care). ... To put it bluntly, we spend more and die sooner.'","Abortion,Health Care",Health Care,Bart Stupak,Mitt Romney,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Andorra,Australia,Austria,Barack Obama,Belgium,Canada,Denmark,Finland,France,Germany,Greece,Iceland,Institute for Health Metrics and Evaluation,Ireland,Israel,Italy,Japan,Luxembourg,Malta,Mitt Romney,Mokdad,Monaco,Netherlands,New Zealand,Norway,OECD,Organization for Economic Cooperation and Development,Portugal,Republican,San Marino,South Korea,Spain,Sweden,Switzerland,United Kingdom,University of Washington,World Health Organization"
'There will be no public funding for abortion in this legislation.','The health insurance plan that (members of Congress) have is no different than any other federal employee's in the United States government.',"Abortion,Health Care",Health Care,Bart Stupak,Steve Southerland,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Bethesda Naval Hospital,Capitol Hill,Congressional Research Service,David Williams,Democratic Congressional Campaign Committee,FactCheck.org,Federal Employees Health Benefits Program,Los Angeles Times,Medicare,National Taxpayers Union,Office of Personnel Management,Office of the Attending Physician,Panama City,PolitiFact,Rick Scott,Steve Southerland,Tallahassee Democrat,U.S. Office of Personnel Management,Walter Reed Army Medical Center,health care reform,physical therapy"
'There will be no public funding for abortion in this legislation.',"'One-third of the counties — think of it, one-third — only have one insurer left' on the Affordable Care Act exchanges.","Abortion,Health Care",Health Care,Bart Stupak,Donald Trump,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,Alabama,Alaska,Donald Trump,Glied,Kaiser Family Foundation,New York University,Oklahoma,Politifact,Republican,Robert F. Wagner Graduate School of Public Service,South Carolina,Wyoming"
'There will be no public funding for abortion in this legislation.',"Says Sen. Rand Paul, R-Ky., has stated that supporting the 'right to health care ... means you believe in slavery.'","Abortion,Health Care",Health Care,Bart Stupak,Sarah Silverman,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","2.2 million,Affordable Care Act,Association of American Physicians and Surgeons,Bernie Sanders,Hippocratic Oath,Matt Welch,Michael Sheen,Rand Paul,Sarah Silverman,Twitter,WhoSay,YouTube,federally qualified health center,libertarian,meme,right to food,right to water,the chairman,the speech"
'There will be no public funding for abortion in this legislation.','Right now we are at 90 percent health insurance covered. That's the highest we've ever been in our country.',"Abortion,Health Care",Health Care,Bart Stupak,Hillary Clinton,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,Barack Obama,Hillary Clinton,Medicaid,Medicare,U.S. Census Bureau,https"
'There will be no public funding for abortion in this legislation.','I actually in 2005 ran on Medicare for all.',"Abortion,Health Care",Health Care,Bart Stupak,Kirsten Gillibrand,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Associated Press,Bernie Sanders,Internet Archive,Internet Archive Wayback Machine,John Sweeney,Kirsten Gillibrand,Medicare,New York’s 20th Congressional District,PolitiFact,Republican,U.S. Senator,Wayback Machine,YouTube,c-span,https,public option,the Internet,universal health care"
'There will be no public funding for abortion in this legislation.',Hillary Clinton 'has the only health care plan that covers every American.',"Abortion,Health Care",Health Care,Bart Stupak,Hillary Clinton,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,Hillary Clinton,John Edwards,attack ad,universal health care"
'There will be no public funding for abortion in this legislation.','Almost 1 million children ... have no health insurance in this state.',"Abortion,Health Care",Health Care,Bart Stupak,Bud Chiles,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Alex Sink,Commonwealth Fund,Families USA,Florida Department of Health,Henry J. Kaiser,Henry J. Kaiser Family Foundation,Kaiser Family Foundation,Lawton Chiles"
'There will be no public funding for abortion in this legislation.','Obama put a 10 percent tax on tanning.',"Abortion,Health Care",Health Care,Bart Stupak,Snooki,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,JWOWW,Jersey Shore,John Boehner,Joint Committee on Taxation,MTV,Nicole 'Snooki' Polizzi,Patient Protection and Affordable Care Act,Snooki,Snooki, J-WOWW,Twitter,Uncle Sam,White House Correspondents Association,indoor tanning,skin cancer,tanning bed"
'There will be no public funding for abortion in this legislation.',"'The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will.'","Abortion,Health Care",Health Care,Bart Stupak,Karen Handel,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Cecile Richards,Cliff Stearns,HLN,Joy Behar,Joy Behar Show,Karen Handel,Nathan Deal,Planned Parenthood,Susan G. Komen for the Cure,abortion,breast cancer,family planning,mammogram,mammography"
'There will be no public funding for abortion in this legislation.',"In the past three years, state legislatures have 'enacted more of these restrictions (on abortion) than in the previous 10 years combined.'","Abortion,Health Care","Abortion,Health Care,Women",Bart Stupak,Patty Murray,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Center for Reproductive Rights,Guttmacher Institute,Patty Murray,PolitiFact,Roe vs. Wade,Susan B. Anthony List,Washington Post,abortion"
'There will be no public funding for abortion in this legislation.','The VA negotiates prescription drug prices. Medicare doesn't do that.',"Abortion,Health Care",Health Care,Bart Stupak,Seth Moulton,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","ABC News,CNN,Centers for Medicare and Medicaid Services,Gail Wilensky,George H.W. Bush,Henry J. Kaiser,Henry J. Kaiser Family Foundation,Iraq,Kaiser Family Foundation,Massachusetts’s 6th Congressional District,Medicare,Seth Moulton,Single-payer health care,U.S. Department of Health and Human Services,U.S. Marine Corps,University of Pittsburgh,Veterans Administration,administered pricing,for anything,good, the bad and the ugly,single-payer health care,the price"
'There will be no public funding for abortion in this legislation.',"In Massachusetts, 'half of the primary care doctors are not accepting new patients.'","Abortion,Health Care",Health Care,Bart Stupak,John Fleming,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,CNN,Children’s Health Insurance Program,Commonwealth Care,Ezekiel Emanuel,John Fleming,MassHealth,Massachusetts Medical Society,Medicaid,Medicare,New England Journal of Medicine,Obamacare,University of Pennsylvania,family medicine,internal medicine"
'There will be no public funding for abortion in this legislation.',New provisions of the health care law bar the use of flexible spending accounts and health savings accounts to pay for aspirin and other non-prescription health needs.,"Abortion,Health Care",Health Care,Bart Stupak,Pat Mullins,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,Barack Obama,FSAs,Internal Revenue Service,Jim Webb,Joint Committee on Taxation,Michael Waxman,Mike Thompson,Nancy Pelosi,Over-the-counter,Pat Mullins,PwC,Republican Party of Virginia,San Antonio,San Antonio, Texas,Washington Post,aspirin,flexible spending account,insulin,over-the-counter,over-the-counter drug"
'There will be no public funding for abortion in this legislation.',"In New York state, 'you cannot charge an older person even one dollar more than a younger person' for health insurance.","Abortion,Health Care",Health Care,Bart Stupak,Chris Collins,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,American Health Care Act,CNN,Chris Collins,Democrat,Mario M. Cuomo,National Conference of State Legislatures,New York City,Obamacare,Pete Grannis,Politifact,Republican,community rating,the price"
'There will be no public funding for abortion in this legislation.',"'We spend more on health care than any other country, but we're ranked 47th in life expectancy and 43rd in child mortality.'","Abortion,Health Care",Health Care,Bart Stupak,Democratic National Committee,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","CIA,Democratic National Committee,Japan,Kaiser Family Foundation,Luxembourg,U.S. Census Bureau,World Factbook,World Health Organization"
'There will be no public funding for abortion in this legislation.',"'Each year, 18,000 people die in America because they don't have health care.'","Abortion,Health Care",Health Care,Bart Stupak,Hillary Clinton,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Hillary Clinton,Institute of Medicine,National Academy of Science,independent variable"
'There will be no public funding for abortion in this legislation.',The Senate health care bill 'would leave 24 million people without insurance coverage.',"Abortion,Health Care",Health Care,Bart Stupak,Mike Enzi,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Congressional Budget Office,Families USA,George Washington University,Harry Reid,John Boehner,John Holahan,Medicaid,Mike Enzi,Republican,Republican Party,Urban Institute,Wyoming,but not,government-sponsored health insurance,health insurance exchange"
'There will be no public funding for abortion in this legislation.',"'With this reform, every insured American gets valuable consumer protections, and every uninsured American can become insured.'","Abortion,Health Care",Health Care,Bart Stupak,Lloyd Doggett,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,Center for Public Policy Priorities,Children's Health Insurance Program,Congressional Budget Office,District of Columbia,Kaiser Family Foundation,Lloyd Doggett,Medicaid,Patient Protection and Affordable Care Act,Texas Department of Insurance,U.S. Census Bureau,asthma,federal poverty level,health care reform bill,s more"
'There will be no public funding for abortion in this legislation.',"'Ninety-five percent of Oregonians now have health insurance coverage, tens of thousands for the very first time.'","Abortion,Health Care",Health Care,Bart Stupak,John Kitzhaber,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,Barack Obama,Cover Oregon,Dennis Richardson,John Kitzhaber,Medicaid,Oregon Health & Science University,Oregon Health Plan,PolitiFact,Republican,health insurance marketplace,t stop"
'There will be no public funding for abortion in this legislation.','Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals' in 2014.,"Abortion,Health Care",Health Care,Bart Stupak,Carol Shea-Porter,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,Anthem Blue Cross Blue Shield,Carol Shea-Porter,National Republican Congressional Committee,White House"
