Annotations,Score,CR Author A,CR Author B,Review URL A,Review URL B,Text Fragments A,Text Fragments B,Entities A,Entities B,Keywords A,Keywords B,Citations A,Citations B,URI A,URI B
N,0.6648963667995189,politifact,politifact,http://www.politifact.com/rhode-island/statements/2012/jun/25/christopher-blazejewski/state-rep-blazejewski-says-rhode-island-law-made-w/,http://www.politifact.com/rhode-island/statements/2012/jun/13/christopher-blazejewski/rep-christopher-blazejewski-says-most-dunkin-donut/,State Rep. Blazejewski says Rhode Island law made white lies misdemeanors if transmitted on the Internet.,Rep. Christopher Blazejewski says most Dunkin' Donuts tips don't go to employees,"American Civil Liberties Union,Blazejewski,Christopher Blazejewski,Facebook,PolitiFact,Roger Williams University School of Law,Twitter,chronic halitosis,the Internet,white collar crime","Blazejewski,Chris Hunter,Christopher Blazejewski,Dunkin' Donuts,Dunkin’ Donuts,Facebook,Honey Dew Donuts,PolitiFact,So you,Twitter,extremely difficult,not its,the chairman,tip jar","Legal Issues,Pop Culture,Technology","Economy,Jobs,Workers","http://www.rilin.state.ri.us/BillText/BillText12/HouseText12/H7389.pdf, https://www.politifact.com/rhode-island/rulings/pants-fire/, http://www.rilin.state.ri.us/Statutes/TITLE11/11-52/11-52-7.HTM, https://www.politifact.com/rhode-island/about/, https://twitter.com/#%21/PolitiFactRI, https://www.facebook.com/pages/PolitiFact-Rhode-Island/108242095907358","http://www.rilin.state.ri.us/BillText12/HouseText12/H7566Aaa.pdf, https://www.politifact.com/rhode-island/about/, https://twitter.com/#%21/PolitiFactRI, https://www.facebook.com/pages/PolitiFact-Rhode-Island/108242095907358",http://data.gesis.org/claimskg/creative_work/eab9bd5f-f310-5a70-befe-3133bcf5b63d,http://data.gesis.org/claimskg/creative_work/9ce6094f-3fdf-51d4-91e3-3db299f351e2
ST,0.6633904075098518,politifact,politifact,http://www.politifact.com/truth-o-meter/statements/2011/aug/22/rick-perry/rick-perry-says-more-and-more-scientists-are-quest/,http://www.politifact.com/truth-o-meter/statements/2011/aug/14/tim-pawlenty/do-scientists-disagree-about-global-warming/,Rick Perry says more and more scientists are questioning global warming,Do scientists disagree about global warming?,"American Geophysical Union,Bedford, N.H,Climate change,Eos,Global warming,Global warming skeptics,IPCC,InterAcademy Council,Intergovernmental Panel on Climate Change,National Academy of Sciences,National Research Council,Oregon petition,Pennsylvania State University,Republican,Rick Perry,Tim Pawlenty,U.S. Department of Commerce,U.S. Global Change Research Program,United States National Academy of Sciences,University of East Anglia,Washington Post,anthropogenic,climate change,climate science,evaluation of,fossil fuels,global warming,greenhouse gas,greenhouse gases,scientific consensus,that that,the Internet","2007 IPCC report,American Geophysical Union,Antarctica,Eos,Global warming,Global warming skeptics,Greenland,IPCC,InterAcademy Council,Intergovernmental Panel on Climate Change,Miami Herald,National Academy of Sciences,Oregon petition,Pennsylvania State University,Republican,Tim Pawlenty,U.S. Department of Commerce,U.S. Global Change Research Program,United States National Academy of Sciences,University of East Anglia,University of Miami,anthropogenic,climate change,climate science,fossil fuels,global warming,greenhouse gas,it, it,last ‘glacial maximum,meteorology,physical oceanography,the Internet","Climate Change,Energy,Environment","Cap and Trade,Climate Change,Energy,Environment","https://www.politifact.com/truth-o-meter/statements/2011/aug/14/tim-pawlenty/do-scientists-disagree-about-global-warming/, https://www.ipcc.ch/publications_and_data/ar4/wg1/en/spmsspm-understanding-and.html, https://www.ipcc.ch/, http://www.globalchange.gov/, http://americasclimatechoices.org/ACC_Final_Report_Brief04.pdf, https://www.washingtonpost.com/blogs/fact-checker/post/rick-perrys-made-up-facts-about-climate-change/2011/08/17/gIQApVF5LJ_blog.html?wprss=fact-checker, https://www.nytimes.com/2009/03/29/magazine/29Dyson-t.html?_r=1&pagewanted=all, https://pielkeclimatesci.wordpress.com/2008/06/26/house-testimony-of-roger-a-pielke-sr-a-broader-view-of-the-role-of-humans-in-the-climate-system-is-required-in-the-assessment-of-costs-and-benefits-effective-climate-policy/, http://online.wsj.com/article/SB119387567378878423.html, http://www.petitionproject.org/, https://web.archive.org/web/20060823125025/http://www.sciam.com/page.cfm?section=sidebar&articleID=0004F43C-DC1A-1C6E-84A9809EC588EF21, http://www.pnas.org/content/early/2010/06/04/1003187107.full.pdf+html, http://www.pnas.org/, http://www.nasonline.org/site/PageServer, http://tigger.uic.edu/%7Epdoran/012009_Doran_final.pdf, http://www.agu.org/pubs/eos-news/, http://www.agu.org/, https://www.parliament.uk/business/committees/committees-a-z/commons-select/science-and-technology-committee/inquiries/uea/, http://www.noaanews.noaa.gov/stories2011/20110224_climate.html, http://live.psu.edu/pdf/Final_Investigation_Report.pdf, http://www8.nationalacademies.org/onpinews/newsitem.aspx?RecordID=08302010","https://www.politifact.com/ohio/statements/2010/sep/13/john-boccieri/democratic-rep-john-boccieri-invokes-gop-sen-john-/, https://www.politifact.com/truth-o-meter/statements/2009/jul/20/sarah-palin/palin-flips-her-support-cap-and-trade/, https://www.politifact.com/truth-o-meter/statements/2009/jul/20/sarah-palin/palin-flips-her-support-cap-and-trade/, http://miamiherald.typepad.com/nakedpolitics/2011/08/tim-pawlenty-press-palooza-prez-candidate-barnstroms-fl-explains-record.html#ixzz1TzzJlL1w, https://www.ipcc.ch/publications_and_data/ar4/wg1/en/spmsspm-understanding-and.html, https://www.ipcc.ch/, http://www.globalchange.gov/, https://www.ipcc.ch/publications_and_data/ar4/wg1/en/spmsspm-direct-observations.html, http://climate.nasa.gov/evidence/, https://www.parliament.uk/business/committees/committees-a-z/commons-select/science-and-technology-committee/inquiries/uea/, http://www.noaanews.noaa.gov/stories2011/20110224_climate.html, http://live.psu.edu/pdf/Final_Investigation_Report.pdf, http://www8.nationalacademies.org/onpinews/newsitem.aspx?RecordID=08302010, https://www.nytimes.com/2009/03/29/magazine/29Dyson-t.html?_r=1&pagewanted=all, https://pielkeclimatesci.wordpress.com/2008/06/26/house-testimony-of-roger-a-pielke-sr-a-broader-view-of-the-role-of-humans-in-the-climate-system-is-required-in-the-assessment-of-costs-and-benefits-effective-climate-policy/, http://online.wsj.com/article/SB119387567378878423.html, http://www.pnas.org/content/early/2010/06/04/1003187107.full.pdf+html, http://www.pnas.org/, http://www.nasonline.org/site/PageServer, http://tigger.uic.edu/~pdoran/012009_Doran_final.pdf, http://www.agu.org/pubs/eos-news/, http://www.agu.org/, http://www.petitionproject.org/, http://online.wsj.com/article/SB119387567378878423.html, http://www.pnas.org/",http://data.gesis.org/claimskg/creative_work/61d572cf-3460-570c-ba3f-40d237338c88,http://data.gesis.org/claimskg/creative_work/68b97c76-b7e6-5466-9025-b2dbfb53e4da
ST,0.6622420428903445,politifact,politifact,http://www.politifact.com/truth-o-meter/statements/2009/jul/30/chain-email/health-care-exchange-governments-way-regulating-in/,http://www.politifact.com/truth-o-meter/statements/2009/jul/30/chain-email/no-free-health-care-illegal-immigrants-health-bill/,Health care exchange is government's way of regulating insurers,No free health care for illegal immigrants in the health bill,"Kaiser Family Foundation,argues,bat.People,but not,chain e-mail","Kaiser Family Foundation,argues,chain e-mail","Health Care,Regulation","Health Care,Immigration","https://www.politifact.com/, http://www.kff.org/healthreform/sidebyside.cfm","https://www.politifact.com/truth-o-meter/article/2009/jul/30/e-mail-analysis-health-bill-needs-check-/, http://www.kff.org/healthreform/sidebyside.cfm",http://data.gesis.org/claimskg/creative_work/d98833bc-65b2-552d-8134-011afc18b23d,http://data.gesis.org/claimskg/creative_work/cbec2d86-a9fa-5269-9833-b3acb1c1559f
E,0.6618291680743456,politifact,politifact,http://www.politifact.com/florida/statements/2018/oct/15/andrew-gillum/andrew-gillum-unemployment-claim/,http://www.politifact.com/florida/statements/2018/oct/15/andrew-gillum/gillum-increase-low-wage-florida-jobs/,Andrew Gillum's Pants on Fire claim on Florida's low unemployment rate,Is Florida's economy propped up by low-wage jobs? Gillum says yes,"Alexandria Ocasio-Cortez,Andrew Gillum,Bureau of Labor Statistics,CBS,Institute for Economic Competitiveness,Moody's Analytics,PolitiFact,Rick Scott,Ron DeSantis,University of Central Florida,low-wage work,people hold","2}/.test,Andrew Gillum,CBS,Florida International University,Moody's Analytics,PolitiFact,Republican,Rick Scott,Tallahassee,getElementById,https,infogram,low-wage work,s,o",Economy,Economy,"https://www.youtube.com/watch?v=AL7fz7b0brg, https://www.politifact.com/truth-o-meter/statements/2018/jul/18/alexandria-ocasio-cortez/alexandria-ocasio-cortez-wrong-several-counts-abou/?cs-from=2dc9f851-e2a5-445d-823a-ce585c233931, https://www.politifact.com/truth-o-meter/statements/2018/jul/18/alexandria-ocasio-cortez/alexandria-ocasio-cortez-wrong-several-counts-abou/?cs-from=2dc9f851-e2a5-445d-823a-ce585c233931, https://www.gainesville.com/news/20180804/floridas-job-growth-brisk-but-largely-at-low-wages, https://data.bls.gov/timeseries/LASST120000000000003, https://fred.stlouisfed.org/series/LNU02026625, https://www.politifact.com, https://www.politifact.com/florida/statements/2018/oct/15/andrew-gillum/andrew-gillum-unemployment-claim/","https://www.politifact.com/florida/promises/scott-o-meter/promise/588/create-over-700000-jobs/, https://www.youtube.com/watch?v=AL7fz7b0brg, https://www.politifact.com/florida/statements/2018/oct/15/andrew-gillum/andrew-gillum-unemployment-claim/, https://risep.fiu.edu/press-room/2017/the-state-of-working-florida-2017/state-or-working-florida-2017.pdf, https://www.gainesville.com/news/20180804/floridas-job-growth-brisk-but-largely-at-low-wages, https://www.politifact.com, https://www.politifact.com/florida/statements/2018/oct/15/andrew-gillum/gillum-increase-low-wage-florida-jobs/",http://data.gesis.org/claimskg/creative_work/cd738207-ab9e-5d36-8bf7-42f265bf8603,http://data.gesis.org/claimskg/creative_work/926edf63-f1c0-57d2-9e39-b18828e1e626
ST,0.6617069880165127,politifact,politifact,http://www.politifact.com/wisconsin/statements/2015/feb/13/scott-walker/did-scott-walker-flip-flip-budget-shortfall/,http://www.politifact.com/wisconsin/statements/2014/dec/18/scott-walker/scott-walker-says-hes-got-himself-thank-his-tax-bi/,Did Scott Walker flip-flop on how budget shortfalls are measured??,Scott Walker says he's got himself to thank for his tax bill going down,"Bret Baier,Fox News,Jim Doyle,Milwaukee Journal Sentinel,Scott Walker,cattle call,for anything,it. It,s more,the Fox","Milwaukee Area Technical College,Milwaukee Journal Sentinel,Scott Walker,Twitter,Wauwatosa School District,level.A,property tax,to return","State Budget,State Finances",Taxes,"http://www.jsonline.com/news/statepolitics/scott-walker-290106981.html, http://www.c-span.org/video/?c4525006/wisconsin-governor-scott-walker-iowa-freedom-summit, http://www.foxnews.com/on-air/special-report-bret-baier/videos#p/86927/v/4037146201001, http://www.jsonline.com/news/statepolitics/scott-walker-290106981.html, https://www.politifact.com/wisconsin/statements/2011/feb/25/mark-pocan/wisconsin-state-rep-mark-pocan-says-gov-scott-walk/, http://www.doa.state.wi.us/Documents/DEBF/Budget/Biennial%20Budget/November20Report.pdf, http://www.jsonline.com/news/statepolitics/scott-walker-290106981.html","https://www.politifact.com/wisconsin/statements/2014/jan/23/scott-walker/scott-walker-says-typical-property-tax-bill-year-w/, http://www.jsonline.com/news/statepolitics/scott-walker-290106981.html",http://data.gesis.org/claimskg/creative_work/d4415a1b-54ac-5a78-aefe-f22e4a2bcf26,http://data.gesis.org/claimskg/creative_work/f3f22dc9-e5f0-5681-a81c-f85224c3dc36
N,0.6599954417330057,politifact,politifact,http://www.politifact.com/rhode-island/statements/2012/sep/30/brendan-doherty/brendan-doherty-says-most-david-cicilline-campaign/,http://www.politifact.com/rhode-island/statements/2012/sep/30/david-cicilline/us-rep-david-cicilline-says-republican-opponent-br/,Brendan Doherty says most of the David Cicilline campaign is funded by big political action committees,U.S. Rep. David Cicilline says Republican opponent Brendan Doherty wants to repeal Obamacare and increase drug prices for seniors,"Brendan Doherty,Center for Responsive Politics,David Cicilline,Facebook,OpenSecrets,OpenSecrets.org,PolitiFact,Republican,Twitter","Affordable Health Care Act,Brendan Doherty,David Cicilline,Facebook,Helen Glover,Medicare,Mitt Romney,Obamacare,PolitiFact,Republican,Twitter,YouTube,doughnut hole","Campaign Finance,Negative Campaigning","Drugs,Health Care,Medicare,Message Machine 2012,Negative Campaigning,Poverty,Public Health","https://www.opensecrets.org/about/index.php, https://www.opensecrets.org/races/summary.php?id=RI01&cycle=2012, https://www.politifact.com/rhode-island/about/, https://twitter.com/#%21/PolitiFactRI, https://www.facebook.com/pages/PolitiFact-Rhode-Island/108242095907358","https://www.youtube.com/watch?v=C2AdJCct6oU&feature=player_embedded, http://www.920whjj.com/cc-common/podcast/single_page.html?podcast=helenglover&selected_podcast=brendan_doherty_1341236623_6122.mp3, https://www.dohertyforcongress.com/media/press-releases/on-health-care-reform-doherty-criticizes-irresponsible-out-of-touch-behavior-on-capitol-hill/, https://www.politifact.com/rhode-island/about/, https://twitter.com/#%21/PolitiFactRI, https://www.facebook.com/pages/PolitiFact-Rhode-Island/108242095907358",http://data.gesis.org/claimskg/creative_work/4188ceb7-87d4-5103-9ec3-9e96f3630488,http://data.gesis.org/claimskg/creative_work/c83516b4-4224-54a6-b2b0-569ce92ba7d7
E,0.6586631128868269,politifact,politifact,http://www.politifact.com/truth-o-meter/statements/2015/jan/21/barack-obama/obama-obama-2010-us-has-created-more-jobs-all-adva/,http://www.politifact.com/truth-o-meter/statements/2014/nov/18/barack-obama/obama-us-has-put-more-people-back-work-all-other-a/,"Obama: Since 2010, U.S. has created more jobs than 'all advanced economies combined'",Obama: U.S. has put more people 'back to work' than all other advanced economies combined,"2015 State of the Union address,Australia,Barack Obama,Bureau of Labor Statistics,Canada,Estonia,FiveThirtyEight.com,France,George Washington University,Germany,IMF,Iceland,India,International Monetary Fund,Israel,Italy,Japan,Luxembourg,Malta,New Zealand,Norway,PolitiFact,Russia,Singapore,Switzerland,U.S. Bureau of Labor Statistics,United Kingdom,White House,White House press office,a word,labor force participation rate,labor market,major advanced economies","Australia,Austria,Barack Obama,Brisbane,Bureau of Labor Statistics,Canada,Estonia,FiveThirtyEight.com,France,G20,George Washington University,Germany,Google spreadsheet,IMF,Iceland,India,International Monetary Fund,Israel,Italy,Japan,Luxembourg,Malta,New Zealand,Norway,PolitiFact,Russia,Singapore,South Korea,Sweden,Switzerland,U.S. Bureau of Labor Statistics,United Kingdom,White House,White House press office,a word,but not,labor force participation rate,labor market,major advanced economies",Economy,"Economy,Jobs,Labor,Workers","https://www.politifact.com/truth-o-meter/statements/2014/nov/09/barack-obama/obama-2009-us-has-created-more-jobs-every-other-ad/, https://www.imf.org/external/pubs/ft/weo/2014/01/weodata/index.aspx, https://fivethirtyeight.com/datalab/no-the-long-term-jobless-arent-catching-a-break/","https://www.whitehouse.gov/the-press-office/2014/11/16/remarks-president-obama-g20-press-conference-november-16-2014, https://www.politifact.com/truth-o-meter/statements/2014/nov/09/barack-obama/obama-2009-us-has-created-more-jobs-every-other-ad/, https://www.politifact.com/truth-o-meter/statements/2014/nov/09/barack-obama/obama-2009-us-has-created-more-jobs-every-other-ad/, https://www.imf.org/external/pubs/ft/weo/2014/01/weodata/index.aspx, https://docs.google.com/spreadsheets/d/1hEAUGDs5Jr-ehzKV9o6X0F79SKSNcwj12G-POObFXaY/edit#gid=0, http://data.bls.gov/cgi-bin/surveymost, https://fivethirtyeight.com/datalab/no-the-long-term-jobless-arent-catching-a-break/",http://data.gesis.org/claimskg/creative_work/b43bfb36-599e-5737-8161-905ca578f09f,http://data.gesis.org/claimskg/creative_work/589d890d-29f7-5d0a-98b4-f147f88b3581
N,0.6584357813066066,politifact,politifact,http://www.politifact.com/wisconsin/statements/2015/mar/13/scott-walker/scott-walker-loves-hates-federal-ethanol-mandate/,http://www.politifact.com/wisconsin/statements/2015/mar/27/state-democratic-party-wisconsin/has-scott-walker-been-rated-most-factually-challen/,Has Scott Walker changed his view on ethanol mandates?,Has PolitiFact rated Scott Walker the nation's ''most factually-challenged'' politician?,"Milwaukee Journal Sentinel,Our American Revival,Renewable Fuel Standard,Republican,Ronald Reagan,Scott Walker,Wisconsin State Journal,ethanol,price at the pump,the price","Barack Obama,Democratic Party,Hillary Clinton,Marco Rubio,Milwaukee Journal Sentinel,PolitiFact,Republican,Scott Walker,White House,that that","Agriculture,Energy,Gas Prices","Candidate Biography,Job Accomplishments,Polls and Public Opinion","https://www.politifact.com/wisconsin/statements/2015/mar/06/scott-walker/scott-walker-disavows-support-path-citizenship/, https://www.politifact.com/wisconsin/statements/2015/feb/23/scott-walker/supporting-2015-right-work-legislation-scott-walke/, https://www.politifact.com/wisconsin/statements/2015/feb/13/scott-walker/did-scott-walker-flip-flip-budget-shortfall/, http://www.jsonline.com/news/statepolitics/scott-walker-290106981.html, http://www.epa.gov/oms/fuels/renewablefuels/, http://chippewa.com/news/local/govt-and-politics/scott-walker-reversals-piling-up-as-presidential-bid-looms/article_d737b6c6-4215-5114-b0ff-a106d8af165a.html, http://www.jsonline.com/news/statepolitics/scott-walker-290106981.html","http://wisdems.org/news/blog/view/2015-03-more-bad-news-for-working-families-in-scott-walkers, http://www.jsonline.com/news/statepolitics/scott-walker-290106981.html, http://wisdems.org/news/press/view/2014-10-fact-check-scott-walkers-trouble-with-the-truth-2, https://www.politifact.com/georgia/article/2014/jan/29/top-10-fact-checked-people-truth-o-meter/, https://www.politifact.com/personalities/scott-walker/, https://www.politifact.com/personalities/state-democratic-party-wisconsin/, https://www.politifact.com/truth-o-meter/article/2015/mar/24/scorecards-so-far/, http://www.jsonline.com/news/politifact-testing-claim-from-state-democrats-on-scott-walker-and-the-truth-b99469695z1-297724501.html, http://www.jsonline.com/news/statepolitics/scott-walker-290106981.html",http://data.gesis.org/claimskg/creative_work/f9a43bc7-2eda-544c-899b-f418f99e1e71,http://data.gesis.org/claimskg/creative_work/417946ba-65a7-5c0a-8947-7b3b2e7a889d
E*,0.6584304484569692,politifact,politifact,http://www.politifact.com/wisconsin/statements/2012/may/06/tom-barrett/dem-recall-candidate-tom-barrett-says-gop-wisconsi/,http://www.politifact.com/wisconsin/statements/2011/dec/14/kathleen-falk/potential-recall-candidate-kathleen-falk-says-job-/,Dem recall candidate Tom Barrett says GOP Wisconsin Gov. Scott Walker ''caused'' top job losses in U.S.,Potential recall candidate Kathleen Falk says job losses under Wisconsin Gov. Scott Walker worst in ''decades'',"Dane County,Democrat,Jim Doyle,Kathleen Falk,Milwaukee,Milwaukee Journal Sentinel,Republican Governors Association,Scott Walker,Tom Barrett,University of Wisconsin-Madison,Wisconsin State Journal,recall election","Dane County,Jim Doyle,Kathleen Falk,Milwaukee Journal Sentinel,Scott Walker,net 20,recall election","Economy,Job Accomplishments,Jobs,Workers","Job Accomplishments,Jobs","https://www.politifact.com/personalities/scott-walker/, https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/526/create-250000-new-jobs/, https://www.politifact.com/personalities/tom-barrett/, https://twitter.com/#%21/Barrett4WI, http://www.jsonline.com/news/statepolitics/barrett-says-job-numbers-will-define-recall-election-l1566ca-149097515.html, http://dwd.wisconsin.gov/dwd/newsreleases/2012/unemployment/120425_march_local.pdf, https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/526/create-250000-new-jobs/, https://www.politifact.com/wisconsin/promises/walk-o-meter/, http://host.madison.com/wsj/news/local/govt-and-politics/on-politics/on-politics-professor-with-the-crystal-ball/article_e58dbc22-8fd6-11e1-96ad-0019bb2963f4.html, http://www.aae.wisc.edu/faculty/deller, http://media.jsonline.com/documents/Steve+Verburg+Wisconsin+State+Journal+analysis.pdf, http://host.madison.com/wsj/news/local/govt-and-politics/article_8c50dc92-52f7-11e0-993d-001cc4c03286.html, http://www.aae.wisc.edu/pubs/cenews/docs/ce312.txt, http://www.htrnews.com/article/20120503/MAN0101/205030557/Barrett-asks-Manitowoc-voters-support?odyssey=nav%7Chead, https://www.politifact.com/wisconsin/statements/2012/apr/11/republican-governors-association/republican-governors-association-says-mayor-tom-ba/, https://www.politifact.com/wisconsin/statements/2012/apr/12/republican-governors-association/republican-governors-association-says-unemployment/, https://www.politifact.com/wisconsin/article/2012/mar/09/digging-claims-new-walker-ad/, http://www.jsonline.com/news/statepolitics/politifact-testing-barrett-claim-on-walker-job-losses-u259mlr-150348485.html","https://www.politifact.com/personalities/scott-walker/, https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/526/create-250000-new-jobs/, https://www.politifact.com/wisconsin/promises/walk-o-meter/, http://www.kathleenfalk.net/, http://www.jsonline.mobi/134927448.htm, http://www.jsonline.com/news/opinion/walker-has-not-been-honest-lb39bvu-135140213.html, http://www.revenue.wi.gov/ra/econ/2011/Fall/fullrpt.pdf, http://www.jsonline.com/business/state-loses-9300-privatesector-jobs-in-october-1s33j36-134051023.html, http://www.jsonline.com/business/state-loses-9300-privatesector-jobs-in-october-1s33j36-134051023.html, https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/526/create-250000-new-jobs/",http://data.gesis.org/claimskg/creative_work/7d9e973c-11f8-5a09-b0b1-ab68b529420c,http://data.gesis.org/claimskg/creative_work/a571a1cd-d4f2-5981-95e9-814ea239340a
N,0.6583214677515088,politifact,politifact,http://www.politifact.com/rhode-island/statements/2012/jan/06/david-cicilline/us-rep-david-cicilline-says-providence-made-full-p/,http://www.politifact.com/rhode-island/statements/2012/sep/14/brendan-doherty/brendan-doherty-says-incumbent-us-rep-david-cicill/,U.S. Rep. David Cicilline says Providence made full pension contributions six of eight years that he was mayor,"Brendan Doherty says incumbent U.S. Rep. David Cicilline, as Providence mayor, intentionally missed deadlines for providing information to the city's external auditors","Buck Consultants,Buddy' Cianci,David Cicilline,Facebook,PolitiFact,Rhode Island,Twitter,Vincent 'Buddy' Cianci Jr,the price","2010, general election,Brendan Doherty,David Cicilline,Facebook,James Wilkinson,PolitiFact,Providence City Council,Republican,Rhode Island State Police,Twitter,external auditor","City Budget,Pensions,Retirement,Taxes","Candidate Biography,City Budget,City Government,Debt,Deficit,Negative Campaigning","http://www.wpri.com/dpp/on_air/newsmakers/newsmakers-1222-david-cicilline, http://providenceri.com/efile/818, https://twitter.com/#%21/PolitiFactRI, https://www.facebook.com/pages/PolitiFact-Rhode-Island/108242095907358","http://council.providenceri.com/webfm_send/60, https://www.politifact.com/rhode-island/statements/2012/sep/07/david-cicilline/u-s-rep-david-cicilline-says-when-he-was-mayor-pro/, https://www.politifact.com/rhode-island/about/, https://twitter.com/#%21/PolitiFactRI, https://www.facebook.com/pages/PolitiFact-Rhode-Island/108242095907358",http://data.gesis.org/claimskg/creative_work/9c00772c-41a7-52ae-8ebf-68b5e4dc5434,http://data.gesis.org/claimskg/creative_work/6ec799a3-59da-55bb-b350-5eb2a33912ac
ST,0.6553864886999548,politifact,politifact,http://www.politifact.com/truth-o-meter/statements/2011/nov/28/democratic-national-committee/dnc-ad-says-mitt-romney-flip-flopped-abortion/,http://www.politifact.com/truth-o-meter/statements/2012/may/15/mitt-romney/mitt-romney-evolved-significantly-his-position-abo/,DNC ad says Mitt Romney flip-flopped on abortion,Mitt Romney evolved significantly in his position on abortion,"Abortion,Barack Obama,Democratic National Committee,Edward Kennedy,Hyde Amendment,Mexico City Policy,Mitt Romney,National Review,Pain-Capable Unborn Child Protection Act,Planned Parenthood,Republican,Roe v. Wade,Susan B. Anthony List,U.S. Senate,United Nations,Utah,abortion,abortion and health,incest,pro-life","Boston Globe,Douglas Melton,Edward Kennedy,Harvard University,Hopkinton, N.H,Hyde Amendment,Mexico City Policy,Mitt Romney,National Review,Pain-Capable Unborn Child Protection Act,Planned Parenthood,RedState,Roe v. Wade,United Nations,William Saletan,abortion,embryo,incest,judicial activism,pro-life","Abortion,Message Machine 2012","Abortion,Corrections and Updates","https://www.youtube.com/watch?v=CUOM9QvhG5I&feature=player_embedded, https://www.youtube.com/watch?v=CUOM9QvhG5I&feature=player_embedded, http://www.mittvmitt.com/, http://www.mittvmitt.com/, https://www.youtube.com/watch?v=EhyMplwY6HY, http://www.law.cornell.edu/supct/html/historics/USSC_CR_0410_0113_ZS.html, http://www.law.cornell.edu/supct/html/historics/USSC_CR_0410_0113_ZS.html, http://www.law.cornell.edu/supct/html/historics/USSC_CR_0410_0113_ZS.html, http://www.politico.com/news/stories/0611/57269.html, http://abcnews.go.com/Politics/story?id=3279653&page=1, http://abcnews.go.com/Politics/story?id=3279653&page=1, http://abcnews.go.com/Politics/story?id=3279653&page=1","https://www.politifact.com/truth-o-meter/article/2011/feb/21/principles-truth-o-meter/, http://www.law.cornell.edu/supct/html/historics/USSC_CR_0410_0113_ZS.html, http://www.slate.com/articles/news_and_politics/the_conversion/2012/02/mitt_romney_s_abortion_views_a_bibliography_of_the_best_articles_and_interviews_.html, http://blog.washingtonpost.com/fact-checker/2007/09/romney_and_abortion.html, http://www.politico.com/news/stories/0611/57269.html, https://www.youtube.com/watch?v=P_XFyvcWG5g&feature=player_embedded, https://www.boston.com/news/local/politics/candidates/articles/2006/12/17/romneys_journey_to_the_right/, https://www.boston.com/news/local/politics/candidates/articles/2006/12/17/romneys_journey_to_the_right/, http://www.slate.com/articles/news_and_politics/the_conversion/2012/02/mitt_romney_s_abortion_record_flip_flop_or_conversion_.single.html, http://www.redstate.com/stories/podcasts/redstate_radio_welcome_gov_mitt_romney",http://data.gesis.org/claimskg/creative_work/b131b345-5d3a-5490-8e22-ba3a97ae4a79,http://data.gesis.org/claimskg/creative_work/a5436fc2-01f2-57fe-ac5f-1172fa111d7b
ST,0.6553344243108692,politifact,politifact,http://www.politifact.com/wisconsin/statements/2014/jan/31/brett-hulsey/rep-brett-hulsey-says-wisconsin-has-created-fewer-/,http://www.politifact.com/wisconsin/statements/2014/apr/27/scott-walker/scott-walker-says-2013-job-growth-wisconsin-was-be/,Rep. Brett Hulsey says Wisconsin has created fewer jobs every year Scott Walker has been governor,Scott Walker says 2013 job growth in Wisconsin was best since 1990s,"Brett Hulsey,Bureau of Labor Statistics,Hulsey,Jim Doyle,Quarterly Census of Employment and Wages,Scott Walker,a bad","Bureau of Labor Statistics,Center on Wisconsin Strategy,Great Recession,PolitiFact,Quarterly Census of Employment and Wages,Scott Walker,Taxpayers Alliance,Wisconsin Department of Revenue,big job,jobless recovery,think tank","Job Accomplishments,Jobs","Economy,Jobs","http://www.themic921.com/main.html, https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/526/create-250000-new-jobs/","http://media.jrn.com/documents/walkerweber.doc, http://www.jsonline.com/business/wisconsin-adds-28351-private-sector-jobs-over-12-months-b99227474z1-250973591.html, https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/526/create-250000-new-jobs/, http://www.cows.org/_data/documents/1515.pdf, http://www.cows.org/wisconsin-job-watch_8, https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/526/create-250000-new-jobs/, https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/526/create-250000-new-jobs/",http://data.gesis.org/claimskg/creative_work/63fdd2a3-1b82-5884-ba95-ce06ae2029f8,http://data.gesis.org/claimskg/creative_work/c055706a-085f-50b1-ac54-312f7c2ea915
